어항명,연도,어항주소,위도,경도,인근어항명,인근어항항종,인근어항과의거리,전체가구,전체인구,어업가구,배후어업인구,어촌계명
남애항,1971,강원도 양양군 현남면 매바위길 115,37.94,128.79,인구항,어촌정주어항,4,382,748,110,308,"남애1리, 남애2리"
사천진항,1971,강원도 강릉시 사천면 진리해변길 68-13,37.84,128.88,영진항,지방어항,4.9,200,400,50,60,사천
강릉항,1991,강원도 강릉시 창해로 14번길 51-26,37.77,128.95,안인진항,어촌정주어항,5,158,306,23,23,안목
금진항,1971,강원도 강릉시 옥계면 헌화로 455-3,37.65,129.05,심곡항,어촌정주어항,2,335,624,86,108,금진리
궁촌항,1991,강원도 삼척시 근덕면 궁촌해변길 142-7,37.33,129.27,대진항(삼척),어촌정주어항,3.5,61,82,29,29,궁촌
덕산항,1971,강원도 삼척시 근덕면 덕산해안로 200-23,37.38,129.25,대진항(삼척),어촌정주어항,9.3,95,106,32,38,덕산
장호항,1971,강원도 삼척시 근덕면 장호항길 111,37.29,129.32,갈남항,어촌정주어항,1.2,86,124,28,32,"장호1리, 장호2리"
임원항,1995,강원도 삼척시 원덕읍 임원항구로 16,37.23,129.35,비화항,어촌정주어항,2.5,287,594,105,217,임원
삼길포항,1999,충청남도 서산시 대산읍 삼길포1로 63,37,126.45,난지도항,지방어항,3.9,300,700,100,250,화곡
모항항,1991,충청남도 태안군 소원면 모항항길 122-42,36.78,126.13,만리포항,지방어항,4.3,455,1001,230,452,"모항, 모항2구"
